article_id,sub_sectors
5e9d8c1a2b3f47689d6a543c12345678,Voice Cloning
5e9d8c1a2b3f47689d6a543c12345678,AI Assistants
54f4f7618a57c0748685a8a0e84f1549,AI Regulation
30a808a913095329294d843c6a070c323f6c4b24,AI Chatbots
a1b2c3d4e5f6,AI-Generated Content
79f34f89f74815f47a52b924e65c6d60,AI Gaming
94557829e7c486e88cf1c5414d2c9c87,Enterprise Automation
6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,Semiconductor Supply Chain
87b7d559168308f4b2b1507c6233a2f2,Generative Image Models
3684238acb445ca540e7739c05904ff072206939,Semiconductor Manufacturing
e9d71f552a0119001ca998f642c3a10920f89acb,AI Security
8f77a9965a6131ef18d4a9f9c97c9384,AI Hardware
5f6a7b8c9d2e1a3456789012,GPU Technology
276922e6f27a68e5b4cf12e412ca320ca55b327d,Robotics Software
5b3151c89a87a807e448068e1787958b,AI Agents
58b1930480837a7989d3916a9346598a,AI Agents
6f265e3b1843c87dd9a509349468b6c5,AI Ethics
6f265e3b1843c87dd9a509349468b6c5,AI Research
8c98393135385a3b0f41b34b6a68b428,Social Media AI
60379,Video Generation
a2e2a18a9a8584844090c92197f441c2,Enterprise Search
e724b1057d92311c11989d8d67a85a63,Penetration Testing
e724b1057d92311c11989d8d67a85a63,Vulnerability Management
551d21449684367b6c88042cb9710f84,AI-Powered Gaming
68f97a217fd9c2605137e47e34f25239,AI Agents
a91c2a0d69190446ff81f304536f4dd8,Pathology
a91c2a0d69190446ff81f304536f4dd8,Diagnostic Tools
927c059c5f19a714df587,Large Language Models
3a5a64a38f469c83b6f4a44515e8b08b462575a8,AI Hardware Acceleration
28f039a96e76171b5ca6c0325f542446,AI-powered developer tools
582e67716590496c870447a7f1ff7863,AI Content Creation
9783682a6c3e451b8b62a900b10654a5,Federated Learning
9783682a6c3e451b8b62a900b10654a5,Hybrid Cloud AI
19d01c278a91ef7915553bfdb7c36a575803e84b,Industrial Robotics
19d01c278a91ef7915553bfdb7c36a575803e84b,Warehouse Automation
42b31b266308941c31860a2d189a36b1,AI Agents
b6d84a496f1c480f365b13274c5dd0783038044a,Autonomous Driving
9d49e702a052f44c8714a66a49ca2a6a,AI Regulation
a1b2c3d4e5f6g7h8i9j0,AI Investment Platforms
a6c8b29d3e910a8b7a6c,Application Security
a6c8b29d3e910a8b7a6c,Cloud Security
4710f2c245a2982e8e8b894a21b678e3,Medical Imaging
4710f2c245a2982e8e8b894a21b678e3,Diagnostic AI
a6429e7b8f548242262e6247f44f25c2089237c2d9f9991492a5a15e7d9b856a,AI Cloud Infrastructure
a913c3010c56a675d0548614a7b66514,AI Software Development Platforms
8b75e0044923e29e663e99546bb98f9b,AI-Powered Productivity Tools
1a1b2c3d4e5f,AI Events and Conferences
6a790ce,Virtual Influencer Platforms
c355cf72839f3210b834e4e0d0143f46,AI Events
64701f71d5d7a782433bb75812a801e9,AI Gaming
7a9d5e2b1a3c8f0d46e8b5a7c2d3491c,AI-powered Business Transformation
663116695b2a7,AI Agents
323e41f1556935900b85669049487d5b,AdTech AI
644b684ead94b2515640e2cf4a9c19a1,Smart Home Devices
4433e983c5b8a1b4c67a06434811e60e,AI Copyright Law
663888c7b3b48e0f5e653ffb713095a3,AI Coding Tools
f7d9a8c1b2e34567890123456789abcd,AI Model Development
2a7b8c9d3e4f1a2b3c4d5e6f7a8b9c0d,AI-Driven Cybersecurity
a6f762b39427e4f00ca857ddb2c4a05278667910,RegTech
29b22a514f1f762a924115f1a988a274,Language Models
d41d8cd98f00b204e9800998ecf8427e,AI Infrastructure
414b75a053287f14855e111608c9c214,AI Events
8f843c2b3a2a7f3a2e9f6e93b9c3b7a6,AI Assistants
d41d8cd98f00b204e9800998ecf8427e,Mental Health Platforms
e4ca4ea88d400a1144e7797219699b8a,AI Chatbots
2f7b5d3e9c8a1b4a2f6c8e7d9a3b2c1a,AI Policy
4d5b9a1a7b3c2e1f8a9d4c6b8a5e3f2g,AI Productivity Tools
61a9a03d2f56e0c3f2c7c1e873e98c62,AI Ethics
61a9a03d2f56e0c3f2c7c1e873e98c62,AI Safety
a9a195295ff9395966eb02b4550141057227702e,AI Events
a9a195295ff9395966eb02b4550141057227702e,AI Industry
2f791b5b1d9016037bb32a043f0cfc748cf63f57,Voice AI
65326b23-2052-4444-8b58-17f712915393,AI Chatbots
3a03a29f8449a80836f9a3195c9ee149,Manufacturing Automation
698d51a19d8a812aa05413e5c16c347c,AI Coding Assistants
78110714699154759993704405592274747032,AI Labor Practices
d41d8cd98f00b204e9800998ecf8427e,AI Chatbots
2165729527,AI Art
61a56e9e4b91f8864d2af02633237977,AI Code Generation
47e211262f6b743d9c7f0060f53302b2,AI Chatbots and Platforms
68f68a1a729084428f2198cb6979fd5b,OCR Technology
a1446d7a73a22f988ff56a9c7d897574,3D Design Tools
6a9b7c2d8e3f1a4b5c6d,AI Chatbots
d41d8cd98f00b204e9800998ecf8427e,Home Automation
4b56e461d3a3a49a8ca815ef565c6813d96f83a9722a152bc755a8b9e2a1c23a,AI Foundation Models
a1b2c3d4e5f6g7h8i9j0,AI Policy Recommendations
89b0d223185a6c1541a79b742f6b2b0b,LLM Development
89b0d223185a6c1541a79b742f6b2b0b,AI Code Generation
9421a414b7b38b1e369487e46828860a,Voice Cloning
55c2b9401004a69e83c65987352245d3,Security Information and Event Management (SIEM)
e64434266a0343e096c3ff6e37039c04,AI Code Generation
2f9b3b9d7a5e4c8f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f,AI Ethics
2f9b3b9d7a5e4c8f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f,AI Safety
a1b2c3d4e5f6g7h8i9j0,AI Chatbots
a1b2c3d4e5f6g7h8i9j0,Multimodal AI
a1b2c3d4e5f6g7h8i9j0,Reasoning Models
f1d923b9f1b86a95f590335e59e3e256,Sales Intelligence
2a35a058163f0203786e6d83a9127229,AI-powered Media Production
7963134249497799406798525626424643849,AI Agents
3f644bc6e2205891e1f0524f135c6f0b,AI-Powered App Analysis
d45225d32b8f3d4b36532e70c2d4d74c402709b0,AI Infrastructure
30f6469257f429f483504b09c58ca26b,AI Training Infrastructure
5b3d80d8b507199c26007a250f86e329,AI Search
a7a3a3671a41e6918a0f980cae34689a,AI Ethics
a7a3a3671a41e6918a0f980cae34689a,AI Policy
f918c309559444671d753f60e8d309f7,Reinforcement Learning
d4b304d621c7c4b5619b03b71579953a,E-commerce AI
d4b304d621c7c4b5619b03b71579953a,Personalized Shopping
a1b2c3d4e5f6,AI Events and Conferences
541c5116a2699630325f7995c20450f7,AI Communication Platforms
347298gh4yd92,AI in Scientific Research
144a6325912b9033405f0cf4b484f28c,Antitrust Regulation
